ticker,exchange,icb2,icb3,icb4,market_cap,adtv_20d,status,reject_reason,as_of,source,data_status,filter_stage,reason_label,trigger_metric,trigger_value,threshold_or_cutoff
NNT,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,NƯỚC,,45666500.0,REJECTED,LOW_LIQUIDITY,2026-07-01,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NOS,UPCOM,HÀNG & DỊCH VỤ CÔNG NGHIỆP,VẬN TẢI,VẬN TẢI THỦY,,3997000.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NQB,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,NƯỚC,,1565500.0,REJECTED,LOW_LIQUIDITY,2025-10-14,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NQN,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,NƯỚC,,11912500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NSG,UPCOM,HÓA CHẤT,HÓA CHẤT,"NHỰA, CAO SU & SỢI",,6945000.0,REJECTED,LOW_LIQUIDITY,2025-09-19,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NSL,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,NƯỚC,,8351500.0,REJECTED,LOW_LIQUIDITY,2026-07-01,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NSS,UPCOM,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,NUÔI TRỒNG NÔNG & HẢI SẢN,,183500.0,REJECTED,LOW_LIQUIDITY,2024-10-23,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NTF,UPCOM,Y TẾ,DƯỢC PHẨM,DƯỢC PHẨM,,7176000.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NTT,UPCOM,HÀNG CÁ NHÂN & GIA DỤNG,HÀNG CÁ NHÂN,HÀNG MAY MẶC,,69344500.0,REJECTED,LOW_LIQUIDITY,2026-06-15,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NTW,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,NƯỚC,,15920000.0,REJECTED,LOW_LIQUIDITY,2026-07-01,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NUE,UPCOM,HÀNG & DỊCH VỤ CÔNG NGHIỆP,TƯ VẤN & HỖ TRỢ KINH DOANH,CHẤT THẢI & MÔI TRƯỜNG,,19897500.0,REJECTED,LOW_LIQUIDITY,2026-06-01,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NVP,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,NƯỚC,,255000.0,REJECTED,LOW_LIQUIDITY,2026-06-29,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NWT,UPCOM,DU LỊCH VÀ GIẢI TRÍ,DU LỊCH & GIẢI TRÍ,VẬN TẢI HÀNH KHÁCH & DU LỊCH,,0.0,REJECTED,LOW_LIQUIDITY,2025-09-19,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NXT,UPCOM,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,50089500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
ONW,UPCOM,DU LỊCH VÀ GIẢI TRÍ,DU LỊCH & GIẢI TRÍ,DỊCH VỤ GIẢI TRÍ,,51140500.0,REJECTED,LOW_LIQUIDITY,2026-06-12,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PAI,UPCOM,VIỄN THÔNG,VIỄN THÔNG CỐ ĐỊNH,VIỄN THÔNG CỐ ĐỊNH,,3078270.0,REJECTED,LOW_LIQUIDITY,2026-06-25,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PAP,UPCOM,HÀNG & DỊCH VỤ CÔNG NGHIỆP,VẬN TẢI,"KHO BÃI, HẬU CẦN VÀ BẢO DƯỠNG",,34535500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PAS,UPCOM,TÀI NGUYÊN CƠ BẢN,KIM LOẠI,THÉP VÀ SẢN PHẨM THÉP,,91913500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PBC,UPCOM,Y TẾ,DƯỢC PHẨM,DƯỢC PHẨM,,86251500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PBT,UPCOM,HÀNG & DỊCH VỤ CÔNG NGHIỆP,HÀNG CÔNG NGHIỆP,CONTAINERS & ĐÓNG GÓI,,10305500.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
