ticker,exchange,icb2,scope,coverage_status,data_status_reason,other_current_assets,statement_statuses,source_modes
APS,HNX,DỊCH VỤ TÀI CHÍNH,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
ASM,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
ASP,HOSE,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
ATG,UPCOM,TÀI NGUYÊN CƠ BẢN,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BAF,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,NON_FINANCIAL,FAIL,BALANCE_SHEET:REQUIRED_ITEM_AMBIGUOUS;BALANCE_SHEET:current_assets:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:cash_and_cash_equivalents:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:short_term_investments:DUPLICATED;BALANCE_SHEET:accounts_receivable:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:inventories_net:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:fixed_assets:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:tangible_fixed_assets:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:total_assets:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:current_liabilities:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:short_term_borrowings:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:taxes_and_other_payable_to_state_budget:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:long_term_liabilities:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:long_term_borrowings:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:owners_equity:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:undistributed_earnings:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:minority_interests:UNAVAILABLE_AFTER_NORMALIZATION;BALANCE_SHEET:preferred_shares:DUPLICATED;BALANCE_SHEET:paid_in_capital:UNAVAILABLE_AFTER_NORMALIZATION,PRESENT,"{""BALANCE_SHEET"":""REQUIRED_ITEM_AMBIGUOUS"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BCG,HOSE,DỊCH VỤ TÀI CHÍNH,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BCM,HOSE,BẤT ĐỘNG SẢN,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BCR,UPCOM,XÂY DỰNG VÀ VẬT LIỆU,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BDT,UPCOM,XÂY DỰNG VÀ VẬT LIỆU,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
BFC,HOSE,HÓA CHẤT,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
